"service","week","month","available_beds","patients_request","patients_admitted","patients_refused","utilisation_rate","refusal_rate","patient_satisfaction","staff_morale","event","total_present_days","num_staff"
"ICU","1","1","22","31","22","9","1.0","0.2903225806451613","84","91","flu",,
"ICU","2","1","16","7","7","0","0.4375","0.0","79","85","donation",,
"ICU","3","1","20","21","20","1","1.0","0.047619047619047616","82","89","none",,
"ICU","4","1","20","21","20","1","1.0","0.047619047619047616","64","85","flu",,
"ICU","5","2","22","13","13","0","0.5909090909090909","0.0","73","88","none",,
"ICU","6","2","14","12","12","0","0.8571428571428571","0.0","87","51","none",,
"ICU","7","2","21","47","21","26","1.0","0.5531914893617021","72","83","flu",,
"ICU","8","2","12","10","10","0","0.8333333333333334","0.0","76","98","none",,
"ICU","9","3","11","20","11","9","1.0","0.45","97","73","none",,
"ICU","10","3","13","8","8","0","0.6153846153846154","0.0","91","56","none",,
"ICU","11","3","14","17","14","3","1.0","0.17647058823529413","61","50","none",,
"ICU","12","3","16","13","13","0","0.8125","0.0","79","94","donation",,
"ICU","13","4","17","12","12","0","0.7058823529411765","0.0","66","52","none",,
"ICU","14","4","10","16","10","6","1.0","0.375","92","54","none",,
"ICU","15","4","14","11","11","0","0.7857142857142857","0.0","92","52","none",,
"ICU","16","4","18","15","15","0","0.8333333333333334","0.0","98","78","none",,
"ICU","17","5","14","17","14","3","1.0","0.17647058823529413","87","83","none",,
"ICU","18","5","12","9","9","0","0.75","0.0","63","55","none",,
"ICU","19","5","14","17","14","3","1.0","0.17647058823529413","68","61","none",,
"ICU","20","5","10","14","10","4","1.0","0.2857142857142857","85","65","none",,
"ICU","21","6","12","9","9","0","0.75","0.0","69","54","none",,
"ICU","22","6","9","6","6","0","0.6666666666666666","0.0","92","82","none",,
"ICU","23","6","17","12","12","0","0.7058823529411765","0.0","85","83","none",,
"ICU","24","6","9","9","9","0","1.0","0.0","91","73","none",,
"ICU","25","7","8","6","6","0","0.75","0.0","71","90","none",,
"ICU","26","7","14","8","8","0","0.5714285714285714","0.0","98","63","none",,
"ICU","27","7","15","10","10","0","0.6666666666666666","0.0","86","51","none",,
"ICU","28","7","12","8","8","0","0.6666666666666666","0.0","86","59","none",,
"ICU","29","8","14","15","14","1","1.0","0.06666666666666667","84","82","none",,
"ICU","30","8","8","7","7","0","0.875","0.0","62","65","none",,
"ICU","31","8","8","12","8","4","1.0","0.3333333333333333","87","86","none",,
"ICU","32","8","11","15","11","4","1.0","0.26666666666666666","84","51","none",,
"ICU","33","9","11","13","11","2","1.0","0.15384615384615385","94","50","none",,
"ICU","34","9","10","7","7","0","0.7","0.0","72","53","none",,
"ICU","35","9","18","5","5","0","0.2777777777777778","0.0","82","64","none",,
"ICU","36","9","15","5","5","0","0.3333333333333333","0.0","83","64","none",,
"ICU","37","10","13","20","13","7","1.0","0.35","82","65","none",,
"ICU","38","10","20","18","18","0","0.9","0.0","81","70","none",,
"ICU","39","10","11","15","11","4","1.0","0.26666666666666666","95","50","none",,
"ICU","40","10","12","15","12","3","1.0","0.2","97","84","none",,
"ICU","41","11","21","20","20","0","0.9523809523809523","0.0","77","96","none",,
"ICU","42","11","16","12","12","0","0.75","0.0","80","55","none",,
"ICU","43","11","18","12","12","0","0.6666666666666666","0.0","89","87","none",,
"ICU","44","11","12","16","12","4","1.0","0.25","73","87","none",,
"ICU","45","12","18","42","18","24","1.0","0.5714285714285714","70","54","flu",,
"ICU","46","12","23","28","23","5","1.0","0.17857142857142858","89","75","flu",,
"ICU","47","12","13","16","13","3","1.0","0.1875","76","82","none",,
"ICU","48","12","16","23","16","7","1.0","0.30434782608695654","98","76","none",,
"ICU","49","12","16","22","16","6","1.0","0.2727272727272727","83","64","none",,
"ICU","50","12","22","13","13","0","0.5909090909090909","0.0","65","57","none",,
"ICU","51","12","18","15","15","0","0.8333333333333334","0.0","87","80","none",,
"ICU","52","12","22","24","22","2","1.0","0.08333333333333333","80","96","none",,
"emergency","1","1","32","76","32","44","1.0","0.5789473684210527","67","70","none",,
"emergency","2","1","28","169","28","141","1.0","0.834319526627219","75","64","none",,
"emergency","3","1","32","177","32","145","1.0","0.8192090395480226","73","58","flu",,
"emergency","4","1","32","157","32","125","1.0","0.7961783439490446","83","75","none",,
"emergency","5","2","25","388","25","363","1.0","0.9355670103092784","93","72","flu",,
"emergency","6","2","34","198","34","164","1.0","0.8282828282828283","72","76","flu",,
"emergency","7","2","33","127","33","94","1.0","0.7401574803149606","65","77","none",,
"emergency","8","2","26","240","26","214","1.0","0.8916666666666667","96","75","flu",,
"emergency","9","3","28","113","28","85","1.0","0.7522123893805309","82","86","none",,
"emergency","10","3","17","130","17","113","1.0","0.8692307692307693","81","60","none",,
"emergency","11","3","16","97","16","81","1.0","0.8350515463917526","98","72","donation",,
"emergency","12","3","28","347","28","319","1.0","0.9193083573487032","68","83","flu",,
"emergency","13","4","23","142","23","119","1.0","0.8380281690140845","77","95","none",,
"emergency","14","4","15","97","15","82","1.0","0.845360824742268","71","71","none",,
"emergency","15","4","17","53","17","36","1.0","0.6792452830188679","94","98","none",,
"emergency","16","4","23","144","23","121","1.0","0.8402777777777778","62","89","none",,
"emergency","17","5","21","133","21","112","1.0","0.8421052631578947","84","73","none",,
"emergency","18","5","18","100","18","82","1.0","0.82","81","80","donation",,
"emergency","19","5","16","70","16","54","1.0","0.7714285714285715","99","45","strike",,
"emergency","20","5","21","45","21","24","1.0","0.5333333333333333","93","81","none",,
"emergency","21","6","18","95","18","77","1.0","0.8105263157894737","88","63","none",,
"emergency","22","6","16","129","16","113","1.0","0.875968992248062","69","68","none",,
"emergency","23","6","22","54","22","32","1.0","0.5925925925925926","62","50","none",,
"emergency","24","6","18","105","18","87","1.0","0.8285714285714286","70","78","none",,
"emergency","25","7","15","48","15","33","1.0","0.6875","72","72","none",,
"emergency","26","7","18","96","18","78","1.0","0.8125","87","63","none",,
"emergency","27","7","15","67","15","52","1.0","0.7761194029850746","82","78","none",,
"emergency","28","7","15","69","15","54","1.0","0.782608695652174","78","66","donation",,
"emergency","29","8","16","92","16","76","1.0","0.8260869565217391","72","99","none",,
"emergency","30","8","16","85","16","69","1.0","0.8117647058823529","91","94","none",,
"emergency","31","8","20","48","20","28","1.0","0.5833333333333334","69","81","none",,
"emergency","32","8","20","89","20","69","1.0","0.7752808988764045","76","58","none",,
"emergency","33","9","28","54","28","26","1.0","0.48148148148148145","92","56","donation",,
"emergency","34","9","21","31","21","10","1.0","0.3225806451612903","64","60","strike",,
"emergency","35","9","15","81","15","66","1.0","0.8148148148148148","93","77","none",,
"emergency","36","9","28","115","28","87","1.0","0.7565217391304347","70","88","none",,
"emergency","37","10","23","110","23","87","1.0","0.7909090909090909","76","54","none",,
"emergency","38","10","22","71","22","49","1.0","0.6901408450704225","67","53","none",,
"emergency","39","10","20","67","20","47","1.0","0.7014925373134329","85","95","none",,
"emergency","40","10","18","57","18","39","1.0","0.6842105263157895","81","43","strike",,
"emergency","41","11","27","92","27","65","1.0","0.7065217391304348","69","88","none",,
"emergency","42","11","24","99","24","75","1.0","0.7575757575757576","67","89","none",,
"emergency","43","11","21","171","21","150","1.0","0.8771929824561403","70","79","none",,
"emergency","44","11","27","138","27","111","1.0","0.8043478260869565","74","60","none",,
"emergency","45","12","32","193","32","161","1.0","0.8341968911917098","72","92","none",,
"emergency","46","12","36","187","36","151","1.0","0.8074866310160428","64","93","none",,
"emergency","47","12","22","91","22","69","1.0","0.7582417582417582","63","54","strike",,
"emergency","48","12","20","165","20","145","1.0","0.8787878787878788","99","89","none",,
"emergency","49","12","26","137","26","111","1.0","0.8102189781021898","92","86","none",,
"emergency","50","12","24","101","24","77","1.0","0.7623762376237624","63","61","none",,
"emergency","51","12","31","123","31","92","1.0","0.7479674796747967","71","75","none",,
"emergency","52","12","26","130","26","104","1.0","0.8","88","63","none",,
"general_medicine","1","1","37","201","37","164","1.0","0.8159203980099502","97","43","flu",,
"general_medicine","2","1","43","183","43","140","1.0","0.7650273224043715","73","93","flu",,
"general_medicine","3","1","37","58","37","21","1.0","0.3620689655172414","95","63","none",,
"general_medicine","4","1","43","152","43","109","1.0","0.7171052631578947","67","66","flu",,
"general_medicine","5","2","40","103","40","63","1.0","0.6116504854368932","73","52","none",,
"general_medicine","6","2","69","90","69","21","1.0","0.23333333333333334","72","81","none",,
"general_medicine","7","2","62","80","62","18","1.0","0.225","84","98","donation",,
"general_medicine","8","2","58","105","58","47","1.0","0.44761904761904764","71","88","none",,
"general_medicine","9","3","38","78","38","40","1.0","0.5128205128205128","63","60","none",,
"general_medicine","10","3","35","64","35","29","1.0","0.453125","95","68","none",,
"general_medicine","11","3","35","50","35","15","1.0","0.3","75","75","none",,
"general_medicine","12","3","33","69","33","36","1.0","0.5217391304347826","70","98","none",,
"general_medicine","13","4","33","72","33","39","1.0","0.5416666666666666","73","70","none",,
"general_medicine","14","4","51","47","47","0","0.9215686274509803","0.0","86","76","none",,
"general_medicine","15","4","53","179","53","126","1.0","0.7039106145251397","90","76","flu",,
"general_medicine","16","4","39","41","39","2","1.0","0.04878048780487805","85","66","none",,
"general_medicine","17","5","33","76","33","43","1.0","0.5657894736842105","75","63","none",,
"general_medicine","18","5","31","25","25","0","0.8064516129032258","0.0","96","62","strike",,
"general_medicine","19","5","43","60","43","17","1.0","0.2833333333333333","85","86","none",,
"general_medicine","20","5","40","70","40","30","1.0","0.42857142857142855","64","71","none",,
"general_medicine","21","6","45","70","45","25","1.0","0.35714285714285715","95","82","none",,
"general_medicine","22","6","46","36","36","0","0.782608695652174","0.0","87","88","donation",,
"general_medicine","23","6","27","81","27","54","1.0","0.6666666666666666","94","77","donation",,
"general_medicine","24","6","47","66","47","19","1.0","0.2878787878787879","94","97","none",,
"general_medicine","25","7","36","51","36","15","1.0","0.29411764705882354","81","62","none",,
"general_medicine","26","7","43","72","43","29","1.0","0.4027777777777778","80","85","none",,
"general_medicine","27","7","36","61","36","25","1.0","0.4098360655737705","66","95","none",,
"general_medicine","28","7","26","36","26","10","1.0","0.2777777777777778","90","68","none",,
